Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Deal Rating,Days on Market,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB1RF110194,"Danvers, MA",New,"$48,850",$50850.0,https://static.cargurus.com/images/forsale/2024/03/29/17/22/2024_infiniti_qx50-pic-7704972824878649506-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Cargo Package, Heated Seats, CarPlay",15 Miles,Luxe AWD,BLACK,SUV / Crossover,Gasoline,268 hp 2L I4,NA,122,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Kelly INFINITI,Danvers,MA,01923,0,(978) 307-7130,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=382177344&entitySelectingHelper.selectedEntity=NEW_CAR#listing=382177344/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX55 Luxe AWD,INFINITI,QX55,2024,3PCAJ5JR3RF113628,"Plymouth, MA",New,"$48,902",$52770.0,https://static.cargurus.com/images/forsale/2024/04/26/04/56/2024_infiniti_qx55-pic-1245170158309836755-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Cargo Package, Heated Seats",10 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,17,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,24 Infiniti of Plymouth,Plymouth,MA,02360,0,(774) 357-1468,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390668872&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390668872/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB7RF108014,"Westborough, MA",New,"$48,955",$48955.0,https://static.cargurus.com/images/forsale/2024/06/24/09/55/2024_infiniti_qx50-pic-906212780250110260-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",5 Miles,Luxe AWD,BLACK,SUV / Crossover,Gasoline,268 hp 2L I4,NA,173,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=378030861&entitySelectingHelper.selectedEntity=NEW_CAR#listing=378030861/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB7RF106201,"Westborough, MA",New,"$48,955",$48955.0,https://static.cargurus.com/images/forsale/2024/07/28/05/55/2024_infiniti_qx50-pic-5809887178075468840-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",26 Miles,Luxe AWD,WHITE,SUV / Crossover,Gasoline,268 hp 2L I4,NA,130,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=381507411&entitySelectingHelper.selectedEntity=NEW_CAR#listing=381507411/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB8RF114565,"Nashua, NH",New,"$49,145",$49145.0,,"Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",8 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,6,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391615162&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391615162/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB5RF113910,"Westborough, MA",New,"$49,260",$49260.0,https://static.cargurus.com/images/forsale/2024/07/19/15/51/2024_infiniti_qx50-pic-8365386548693558950-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",6 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,18,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390631132&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390631132/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BBXRF114096,"Nashua, NH",New,"$49,260",$49260.0,,"Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",7 Miles,Luxe AWD,BLACK,SUV / Crossover,Gasoline,268 hp 2L I4,NA,6,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391615161&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391615161/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB6RF109669,"Nashua, NH",New,"$49,260",$49260.0,,"Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",12 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,6,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391615164&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391615164/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB9RF113991,"Nashua, NH",New,"$49,350",$49350.0,,"Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",6 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,6,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391615163&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391615163/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX60 Pure AWD,INFINITI,QX60,2024,5N1DL1ES9RC354485,"Plymouth, MA",New,"$49,359",$53230.0,https://static.cargurus.com/images/forsale/2024/07/19/23/33/2024_infiniti_qx60-pic-1277137370229119544-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats",10 Miles,Pure AWD,GRAY,SUV / Crossover,Gasoline,295 hp 3.5L V6,NA,17,ALL_WHEEL_DRIVE,20.0 MPG,25.0 MPG,22.25 MPG,24 Infiniti of Plymouth,Plymouth,MA,02360,0,(774) 357-1468,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390668883&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390668883/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX60 Pure AWD,INFINITI,QX60,2024,5N1DL1ES1RC353914,"Plymouth, MA",New,"$49,359",$53230.0,https://static.cargurus.com/images/forsale/2024/06/29/13/25/2024_infiniti_qx60-pic-4056548349839635500-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats",10 Miles,Pure AWD,WHITE,SUV / Crossover,Gasoline,295 hp 3.5L V6,NA,17,ALL_WHEEL_DRIVE,20.0 MPG,25.0 MPG,22.25 MPG,24 Infiniti of Plymouth,Plymouth,MA,02360,0,(774) 357-1468,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390668906&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390668906/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB2RF111757,"Nashua, NH",New,"$49,459",$49260.0,https://static.cargurus.com/images/forsale/2024/07/19/07/51/2024_infiniti_qx50-pic-8077210971741175873-1024x768.jpeg,"Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",7 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,30,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=389764091&entitySelectingHelper.selectedEntity=NEW_CAR#listing=389764091/NEWCAR_FEATURED/DEFAULT
2023 INFINITI QX55 Essential AWD,INFINITI,QX55,2023,3PCAJ5KR3PF118226,"Danvers, MA",New,"$49,590",$57590.0,https://static.cargurus.com/images/forsale/2023/08/10/06/29/2023_infiniti_qx55-pic-9177608765887358920-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",8 Miles,Essential AWD,BLACK,SUV / Crossover,Gasoline,268 hp 2L I4,NA,398,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Kelly INFINITI,Danvers,MA,01923,0,(978) 307-7130,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=360432181&entitySelectingHelper.selectedEntity=NEW_CAR#listing=360432181/NEWCAR_FEATURED/DEFAULT
